frame,track_id,class,cls_id,conf,x_c,y_c,w,h
0,1,person,0,0.8789650797843933,401.0436096191406,317.3301086425781,35.750732421875,110.83819580078125
0,2,person,0,0.8452987670898438,325.0876159667969,296.90093994140625,30.8785400390625,75.15771484375
0,3,person,0,0.8199340105056763,352.13677978515625,284.5465087890625,26.02783203125,73.765625
0,4,person,0,0.776192843914032,289.67132568359375,289.4419860839844,19.8736572265625,75.89959716796875
0,5,person,0,0.7282980680465698,375.6419677734375,287.09991455078125,23.3924560546875,70.58099365234375
0,6,person,0,0.6357137560844421,394.77874755859375,263.07745361328125,21.22509765625,36.09130859375
1,1,person,0,0.8769733309745789,400.81707763671875,316.6934509277344,36.1624755859375,110.8072509765625
1,2,person,0,0.8377882838249207,324.6044921875,296.7763671875,30.449798583984375,75.4344482421875
1,3,person,0,0.8106467127799988,352.3565673828125,284.3666687011719,26.227874755859375,74.41108703613281
1,4,person,0,0.7667251229286194,289.7321472167969,289.6578369140625,19.7384033203125,74.73129272460938
1,5,person,0,0.7765294313430786,375.4866638183594,286.0242004394531,24.2476806640625,69.70806884765625
1,6,person,0,0.6066115498542786,394.626708984375,263.0102233886719,20.534820556640625,36.17547607421875
2,1,person,0,0.8757891654968262,400.983642578125,315.81884765625,35.7996826171875,109.63177490234375
2,2,person,0,0.8376566767692566,324.26751708984375,296.6419677734375,29.595245361328125,75.5633544921875
2,3,person,0,0.8229972124099731,352.33221435546875,283.52655029296875,26.168060302734375,73.65533447265625
2,4,person,0,0.7695943713188171,289.58062744140625,289.77099609375,19.40313720703125,73.8218994140625
2,5,person,0,0.7883214950561523,375.33233642578125,285.8423767089844,24.714141845703125,69.92457580566406
2,6,person,0,0.5099000930786133,394.1614990234375,263.1429138183594,20.432952880859375,36.62428283691406
3,1,person,0,0.8740076422691345,400.65191650390625,313.7685852050781,36.047637939453125,107.10650634765625
3,2,person,0,0.8616392612457275,324.6298522949219,296.67425537109375,30.4462890625,74.62979125976562
3,3,person,0,0.8267468810081482,352.2906494140625,283.0314636230469,25.571929931640625,73.67991638183594
3,4,person,0,0.7715234160423279,289.6121826171875,289.49884033203125,18.660308837890625,73.68869018554688
3,5,person,0,0.7934494018554688,375.49639892578125,285.7858581542969,24.165924072265625,70.75506591796875
3,6,person,0,0.5331084728240967,393.796630859375,262.43560791015625,20.2705078125,35.60237121582031
4,1,person,0,0.8753010630607605,400.5325927734375,312.45709228515625,36.169891357421875,104.90451049804688
4,2,person,0,0.8569818735122681,324.3199462890625,295.9760437011719,29.8436279296875,74.24676513671875
4,3,person,0,0.8213974833488464,352.1805419921875,282.8605651855469,25.043426513671875,73.74098205566406
4,4,person,0,0.7727475762367249,289.449951171875,289.60894775390625,18.93963623046875,73.81752014160156
4,5,person,0,0.8045824766159058,375.8223571777344,286.1439208984375,23.94073486328125,70.11180114746094
4,6,person,0,0.6569815874099731,393.51300048828125,261.7927551269531,19.78125,34.64588928222656
