Window Clock,TargetNum,AmpData,AngleData,DistanceGate,Frequency,RealXData,RealYData,DataType,Noise Floor,StaticResponse,BodySpeed,YawRate,Gear,Blinker,Hazard,Brake,Rudder,Deterioration Flag,Target Overflow Flag,Noise Floor For AutoTh,DistG0 Amp,Left Angle Err,Right Angle Err,SyncCounter,MinusDistAmp,Angle Converge first,Angle Converge current,Angle Err
0,0,68,0.6,64,30.75,0.100529,9.59947,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,1,63,0.1,64,32.25,0.0167552,9.59999,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,2,240,-58.4,64,32,-8.17658,5.03026,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,3,43,-9,96,32.25,-2.25266,14.2227,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,4,95,0.6,68,30.75,0.106812,10.1994,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,5,82,0.6,68,32.25,0.106812,10.1994,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,6,291,-57.4,68,32,-8.59301,5.49546,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,7,73,-1.2,72,30.75,-0.226178,10.7976,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,8,68,0.1,72,32.25,0.0188495,10.8,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,9,243,-56.5,72,32,-9.00597,5.96092,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,10,51,-2.4,76,30.75,-0.477382,11.39,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,11,74,-1.2,76,31.25,-0.238744,11.3975,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,12,46,0.1,76,32.25,0.0198967,11.4,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,13,150,-53.4,76,32,-9.15212,6.79696,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,14,53,-3.6,80,30.75,-0.753486,11.9763,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,15,67,-3,80,31,-0.628031,11.9836,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,16,32,-3,80,32.25,-0.628031,11.9836,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,17,106,-48,80,32,-8.91774,8.02957,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,18,50,0.6,84,30.75,0.131944,12.5993,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
0,19,88,-41.7,84,32,-8.3819,9.40764,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
