Window Clock,TargetNum,AmpData,AngleData,DistanceGate,Frequency,RealXData,RealYData,DataType,Noise Floor,StaticResponse,BodySpeed,YawRate,Gear,Blinker,Hazard,Brake,Rudder,Deterioration Flag,Target Overflow Flag,Noise Floor For AutoTh,DistG0 Amp,Left Angle Err,Right Angle Err,SyncCounter,MinusDistAmp,Angle Converge first,Angle Converge current,Angle Err
0,0,244,-58.4,64,32,-8.17658,5.03026,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
0,1,286,-57.4,68,32,-8.59301,5.49546,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
0,2,237,-56.5,72,32,-9.00597,5.96092,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
0,3,152,-51.6,76,32,-8.93411,7.08108,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
0,4,106,-45.9,80,32,-8.61752,8.35095,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
0,5,82,-46.7,84,32,-9.16994,8.64131,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
0,6,137,-57.4,60,32,-7.58207,4.84894,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,0,242,-57.4,64,32,-8.08754,5.1722,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
40,1,36,9.4,68,30.75,1.66592,10.063,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
40,2,284,-56.5,68,32,-8.50564,5.62976,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
40,3,58,7.8,72,30.75,1.46573,10.7001,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
40,4,237,-55.4,72,32,-8.88987,6.13271,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
40,5,67,8.3,76,30.75,1.64566,11.2806,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
40,6,60,7.8,76,32.25,1.54716,11.2945,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
40,7,159,-49.8,76,32,-8.70727,7.35822,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
40,8,48,8.3,80,30.75,1.73227,11.8743,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
40,9,110,-45.9,80,32,-8.61752,8.35095,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
40,10,85,-48,84,32,-9.36363,8.43105,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
40,11,17,-4.2,280,30.25,-3.076,41.8872,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
40,12,137,-57.4,60,32,-7.58207,4.84894,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
80,0,242,-58.4,64,32,-8.17658,5.03026,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
80,1,285,-57.4,68,32,-8.59301,5.49546,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
80,2,45,6.1,72,30.75,1.14765,10.7388,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
80,3,239,-56.5,72,32,-9.00597,5.96092,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
80,4,153,-53.4,76,32,-9.15212,6.79696,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
80,5,106,-45.9,80,32,-8.61752,8.35095,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
80,6,83,-46.7,84,32,-9.16994,8.64131,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
80,7,138,-58.4,60,32,-7.66554,4.71587,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
120,0,243,-58.4,64,32,-8.17658,5.03026,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
120,1,285,-57.4,68,32,-8.59301,5.49546,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
120,2,41,6.6,72,30.75,1.24132,10.7284,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
120,3,47,7.8,72,31.25,1.46573,10.7001,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
120,4,237,-56.5,72,32,-9.00597,5.96092,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
120,5,11,40.1,264,36.75,25.5073,30.2909,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
