epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.135,0.4467,12.1113,1.09884,0.96196,0.18567,0.26409,0.19295,0.26051,9.15848,0.8145,9.99422e-05,9.99422e-05,0.0801115
2,690.068,0.33637,9.01803,0.93492,0.05686,0.30982,0.02671,0.01901,0.40182,22.3816,0.92041,0.000195983,0.000195983,0.0602075
3,1009.51,0.31669,8.54123,0.91147,0.92217,0.18909,0.29584,0.24376,0.19133,7.74661,0.74068,0.000288065,0.000288065,0.0402996
4,1323.74,0.30834,8.34658,0.90427,0.93224,0.19946,0.30196,0.23839,0.24147,7.91646,0.78726,0.000376186,0.000376186,0.0203877
5,1635.91,0.29558,8.15222,0.89178,0.25578,0.41072,0.30383,0.24723,0.24335,7.49489,0.78879,0.000460347,0.000460347,0.000471901
6,1944.64,0.29285,8.00923,0.88918,0.24703,0.4145,0.29116,0.23552,0.22097,7.72926,0.75119,0.0004505,0.0004505,0.0004505
7,2251.81,0.2838,7.86703,0.88247,0.26516,0.41874,0.29655,0.23592,0.24214,7.94693,0.74753,0.0004406,0.0004406,0.0004406
8,2557.3,0.27495,7.74764,0.87292,0.27309,0.4184,0.31714,0.24973,0.22138,7.36307,0.73819,0.0004307,0.0004307,0.0004307
9,2865.11,0.27344,7.68597,0.87259,0.2583,0.36854,0.28825,0.22312,0.2435,7.63929,0.75871,0.0004208,0.0004208,0.0004208
10,3172.77,0.26822,7.51798,0.86911,0.27161,0.36705,0.29792,0.24395,0.21232,7.653,0.73713,0.0004109,0.0004109,0.0004109
11,3480.4,0.26171,7.39757,0.86465,0.28404,0.40926,0.30829,0.25563,0.19845,7.65838,0.72724,0.000401,0.000401,0.000401
12,3789.48,0.25808,7.32498,0.86232,0.30134,0.41676,0.31627,0.25001,0.20915,7.65898,0.73201,0.0003911,0.0003911,0.0003911
13,4102.42,0.25345,7.16709,0.85892,0.29739,0.42229,0.30802,0.24948,0.2105,7.55724,0.72525,0.0003812,0.0003812,0.0003812
14,4456.97,0.25289,7.08614,0.85726,0.28196,0.42297,0.31395,0.25458,0.22237,7.54151,0.7275,0.0003713,0.0003713,0.0003713
15,4809.42,0.25082,6.97901,0.85796,0.28072,0.42212,0.30736,0.25072,0.20566,7.44811,0.71828,0.0003614,0.0003614,0.0003614
16,5145.81,0.24916,6.89062,0.85485,0.28736,0.41717,0.32194,0.25933,0.20217,7.3643,0.71563,0.0003515,0.0003515,0.0003515
17,5496.22,0.24442,6.8105,0.85271,0.28037,0.42071,0.31408,0.24691,0.20988,7.63302,0.72626,0.0003416,0.0003416,0.0003416
18,5850.94,0.24153,6.73361,0.85116,0.28085,0.42194,0.32285,0.26003,0.1973,7.29385,0.71579,0.0003317,0.0003317,0.0003317
19,6199.27,0.23988,6.64967,0.85148,0.28807,0.42485,0.31743,0.25429,0.18907,7.41665,0.71115,0.0003218,0.0003218,0.0003218
20,6541.18,0.23862,6.58712,0.84884,0.28383,0.42348,0.31152,0.25009,0.19357,7.58884,0.71526,0.0003119,0.0003119,0.0003119
21,6887.66,0.23378,6.48644,0.84633,0.28865,0.43016,0.3134,0.24645,0.19607,7.36264,0.71855,0.000302,0.000302,0.000302
22,7242.62,0.23624,6.46561,0.84706,0.28886,0.42987,0.31655,0.24826,0.1915,7.2891,0.71467,0.0002921,0.0002921,0.0002921
23,7582.45,0.23007,6.37627,0.84305,0.28708,0.42919,0.31857,0.24642,0.19784,7.34035,0.71683,0.0002822,0.0002822,0.0002822
24,7927,0.22866,6.33257,0.84243,0.28546,0.42358,0.31718,0.24902,0.19585,7.4118,0.70919,0.0002723,0.0002723,0.0002723
25,8265.85,0.22825,6.24655,0.84234,0.29077,0.42265,0.31362,0.24667,0.19181,7.47637,0.70615,0.0002624,0.0002624,0.0002624
26,349.804,0.22656,6.23841,0.84244,0.29005,0.41343,0.31487,0.24569,0.19266,7.48163,0.70569,0.0002525,0.0002525,0.0002525
27,654.436,0.22417,6.17651,0.83973,0.29142,0.42321,0.31708,0.2478,0.19384,7.43624,0.70609,0.0002426,0.0002426,0.0002426
28,995.546,0.22268,6.1442,0.83942,0.42175,0.34399,0.31997,0.24649,0.19677,7.34947,0.70773,0.0002327,0.0002327,0.0002327
29,1352.43,0.22134,6.08186,0.83874,0.29506,0.42741,0.32143,0.24811,0.19908,7.287,0.70968,0.0002228,0.0002228,0.0002228
30,1700.8,0.21643,6.01452,0.83562,0.40964,0.34289,0.32211,0.24598,0.19822,7.25775,0.70919,0.0002129,0.0002129,0.0002129
31,2032.27,0.21442,5.96173,0.83496,0.34587,0.37171,0.32265,0.24471,0.19931,7.26019,0.70925,0.000203,0.000203,0.000203
32,2363.55,0.214,5.89093,0.83489,0.36567,0.37545,0.32806,0.247,0.20142,7.20714,0.71049,0.0001931,0.0001931,0.0001931
33,2699.01,0.21375,5.84899,0.83461,0.36552,0.3836,0.33513,0.25269,0.2046,7.17005,0.71254,0.0001832,0.0001832,0.0001832
34,3031.09,0.21167,5.78053,0.83343,0.33164,0.4137,0.34013,0.25583,0.20484,7.1449,0.71294,0.0001733,0.0001733,0.0001733
35,3365.32,0.20955,5.71616,0.83178,0.32812,0.42003,0.34127,0.25675,0.20471,7.10434,0.71297,0.0001634,0.0001634,0.0001634
36,3696.15,0.20652,5.62685,0.83005,0.32468,0.42023,0.34278,0.25787,0.20577,7.08575,0.71436,0.0001535,0.0001535,0.0001535
37,4030.9,0.20774,5.63,0.83061,0.32559,0.41948,0.34334,0.2586,0.20623,7.06749,0.7143,0.0001436,0.0001436,0.0001436
38,4391.65,0.20345,5.55386,0.82931,0.32359,0.42091,0.34417,0.2595,0.2073,7.06312,0.71486,0.0001337,0.0001337,0.0001337
39,4750.83,0.20265,5.50916,0.82781,0.32079,0.42411,0.34397,0.25959,0.20746,7.05557,0.71475,0.0001238,0.0001238,0.0001238
40,5109.37,0.20459,5.48563,0.82901,0.32204,0.42373,0.34457,0.25937,0.20795,7.06328,0.71483,0.0001139,0.0001139,0.0001139
41,5491.11,0.19974,5.43025,0.82722,0.32323,0.42271,0.34422,0.25876,0.20785,7.09223,0.71427,0.000104,0.000104,0.000104
42,5855.56,0.19675,5.36653,0.82614,0.32335,0.4239,0.34343,0.25834,0.20781,7.10303,0.71418,9.41e-05,9.41e-05,9.41e-05
43,6215.84,0.19397,5.34279,0.8242,0.32318,0.42339,0.3429,0.2586,0.20692,7.08931,0.71346,8.42e-05,8.42e-05,8.42e-05
44,6574.1,0.19245,5.28628,0.82384,0.32347,0.42462,0.3427,0.25883,0.20679,7.09644,0.71369,7.43e-05,7.43e-05,7.43e-05
45,6930.13,0.19132,5.24723,0.82348,0.32333,0.42371,0.34246,0.25869,0.20706,7.10838,0.71328,6.44e-05,6.44e-05,6.44e-05
46,7288.46,0.19006,5.21318,0.82355,0.32319,0.4239,0.34248,0.25896,0.20711,7.12154,0.71371,5.45e-05,5.45e-05,5.45e-05
47,7657.27,0.18588,5.16266,0.82143,0.32252,0.42181,0.34173,0.25888,0.20749,7.13816,0.71372,4.46e-05,4.46e-05,4.46e-05
48,8014.06,0.18458,5.127,0.82101,0.32563,0.42326,0.34129,0.25882,0.20719,7.14977,0.71343,3.47e-05,3.47e-05,3.47e-05
49,410.921,0.1846,5.22881,0.82058,0.32491,0.42148,0.34116,0.25896,0.20691,7.15251,0.71319,2.48e-05,2.48e-05,2.48e-05
50,765.77,0.18323,5.1995,0.81924,0.32441,0.42141,0.34063,0.25839,0.20706,7.16994,0.71285,1.49e-05,1.49e-05,1.49e-05
